site,qur’an,hadith,faiths/beliefs,prayers and duties,Family / women,financial issues / transactions,Society / social matters / politics
Darulifta-deoband,139,82,397,4413,1291,1083,1065
eShaykh,155,558,8803,5066,3321,61,1165
aboutislam.net,35,8,236,696,358,229,156
sistani,8,0,89,283,183,96,124
islamweb.net,967,1253,7350,6417,5326,3570,1595
islamqa.info,294,413,11365,132,1756,0,2668
